1.535.128.731;[sample number];[timestamp per row];[timestamp from unix to excel friendly with timezone offset];[second];[binomial];[label];;FECHA Y HORA INICIAL;;
4;;;;;;;;11:38:51;;
4.559.065;247;1535128792,75;11:39:52,75;61,75;0;nonseizure;;;;
4.562.908;248;1535128793,00;11:39:53,00;62;0;nonseizure;;;;
4.591.085;249;1535128793,25;11:39:53,25;62,25;0;nonseizure;;;;
4.629.509;250;1535128793,50;11:39:53,50;62,5;0;nonseizure;;;;
4.637.194;251;1535128793,75;11:39:53,75;62,75;0;nonseizure;;;;
4.638.474;252;1535128794,00;11:39:54,00;63;0;nonseizure;;;;
4.619.263;253;1535128794,25;11:39:54,25;63,25;0;nonseizure;;;;
4.589.805;254;1535128794,50;11:39:54,50;63,5;0;nonseizure;;;;
4.555.223;255;1535128794,75;11:39:54,75;63,75;0;nonseizure;;;;
4.523.203;256;1535128795,00;11:39:55,00;64;0;nonseizure;;;;
4.489.903;257;1535128795,25;11:39:55,25;64,25;0;nonseizure;;;;
4.466.848;258;1535128795,50;11:39:55,50;64,5;0;nonseizure;;;;
4.445.075;259;1535128795,75;11:39:55,75;64,75;0;nonseizure;;;;
4.430.338;260;1535128796,00;11:39:56,00;65;0;nonseizure;;;;
4.416.249;261;1535128796,25;11:39:56,25;65,25;0;nonseizure;;;;
4.385.510;262;1535128796,50;11:39:56,50;65,5;0;nonseizure;;;;
4.365.018;263;1535128796,75;11:39:56,75;65,75;0;nonseizure;;;;
4.354.771;264;1535128797,00;11:39:57,00;66;0;nonseizure;;;;
4.338.121;265;1535128797,25;11:39:57,25;66,25;0;nonseizure;;;;
4.320.190;266;1535128797,50;11:39:57,50;66,5;0;nonseizure;;;;
4.315.067;267;1535128797,75;11:39:57,75;66,75;0;nonseizure;;;;
4.303.540;268;1535128798,00;11:39:58,00;67;0;nonseizure;;;;
4.303.540;269;1535128798,25;11:39:58,25;67,25;0;nonseizure;;;;
4.306.101;270;1535128798,50;11:39:58,50;67,5;0;nonseizure;;;;
4.299.697;271;1535128798,75;11:39:58,75;67,75;0;nonseizure;;;;
4.286.890;272;1535128799,00;11:39:59,00;68;0;nonseizure;;;;
4.268.958;273;1535128799,25;11:39:59,25;68,25;0;nonseizure;;;;
4.251.027;274;1535128799,50;11:39:59,50;68,5;0;nonseizure;;;;
4.234.377;275;1535128799,75;11:39:59,75;68,75;0;nonseizure;;;;
4.220.288;276;1535128800,00;11:40:00,00;69;0;nonseizure;;;;
4.216.446;277;1535128800,25;11:40:00,25;69,25;0;nonseizure;;;;
4.190.830;278;1535128800,50;11:40:00,50;69,5;0;nonseizure;;;;
4.174.180;279;1535128800,75;11:40:00,75;69,75;0;nonseizure;;;;
4.161.372;280;1535128801,00;11:40:01,00;70;0;nonseizure;;;;
4.149.845;281;1535128801,25;11:40:01,25;70,25;0;nonseizure;;;;
4.174.180;282;1535128801,50;11:40:01,50;70,5;0;nonseizure;;;;
4.279.205;283;1535128801,75;11:40:01,75;70,75;0;nonseizure;;;;
4.499.501;284;1535128802,00;11:40:02,00;71;0;nonseizure;;;;
4.783.836;285;1535128802,25;11:40:02,25;71,25;0;nonseizure;;;;
5.016.941;286;1535128802,50;11:40:02,50;71,5;0;nonseizure;;;;
5.216.112;287;1535128802,75;11:40:02,75;71,75;0;nonseizure;;;;
5.266.062;288;1535128803,00;11:40:03,00;72;0;nonseizure;;;;
5.226.358;289;1535128803,25;11:40:03,25;72,25;0;nonseizure;;;;
5.161.037;290;1535128803,50;11:40:03,50;72,5;0;nonseizure;;;;
5.075.224;291;1535128803,75;11:40:03,75;72,75;0;nonseizure;;;;
4.991.973;292;1535128804,00;11:40:04,00;73;0;nonseizure;;;;
4.912.564;293;1535128804,25;11:40:04,25;73,25;0;nonseizure;;;;
4.847.244;294;1535128804,50;11:40:04,50;73,5;0;nonseizure;;;;
4.794.731;295;1535128804,75;11:40:04,75;73,75;0;nonseizure;;;;
4.746.061;296;1535128805,00;11:40:05,00;74;0;nonseizure;;;;
4.705.076;297;1535128805,25;11:40:05,25;74,25;0;nonseizure;;;;
4.673.056;298;1535128805,50;11:40:05,50;74,5;0;nonseizure;;;;
4.641.036;299;1535128805,75;11:40:05,75;74,75;0;nonseizure;;;;
4.615.420;300;1535128806,00;11:40:06,00;75;0;nonseizure;;;;
4.592.366;301;1535128806,25;11:40:06,25;75,25;0;nonseizure;;;;
4.568.031;302;1535128806,50;11:40:06,50;75,5;0;nonseizure;;;;
4.542.415;303;1535128806,75;11:40:06,75;75,75;0;nonseizure;;;;
4.523.203;304;1535128807,00;11:40:07,00;76;0;nonseizure;;;;
4.515.519;305;1535128807,25;11:40:07,25;76,25;0;nonseizure;;;;
4.478.376;306;1535128807,50;11:40:07,50;76,5;0;nonseizure;;;;
4.464.287;307;1535128807,75;11:40:07,75;76,75;0;nonseizure;;;;
4.442.513;308;1535128808,00;11:40:08,00;77;0;nonseizure;;;;
4.444.427;309;1535128808,25;11:40:08,25;77,25;0;nonseizure;;;;
4.409.845;310;1535128808,50;11:40:08,50;77,5;0;nonseizure;;;;
4.398.318;311;1535128808,75;11:40:08,75;77,75;0;nonseizure;;;;
4.385.510;312;1535128809,00;11:40:09,00;78;0;nonseizure;;;;
4.359.894;313;1535128809,25;11:40:09,25;78,25;0;nonseizure;;;;
4.344.525;314;1535128809,50;11:40:09,50;78,5;0;nonseizure;;;;
4.321.471;315;1535128809,75;11:40:09,75;78,75;0;nonseizure;;;;
4.309.944;316;1535128810,00;11:40:10,00;79;0;nonseizure;;;;
4.294.574;317;1535128810,25;11:40:10,25;79,25;0;nonseizure;;;;
4.279.205;318;1535128810,50;11:40:10,50;79,5;0;nonseizure;;;;
4.266.397;319;1535128810,75;11:40:10,75;79,75;0;nonseizure;;;;
4.257.431;320;1535128811,00;11:40:11,00;80;0;nonseizure;;;;
4.234.377;321;1535128811,25;11:40:11,25;80,25;0;nonseizure;;;;
4.257.431;322;1535128811,50;11:40:11,50;80,5;0;nonseizure;;;;
4.335.559;323;1535128811,75;11:40:11,75;80,75;0;nonseizure;;;;
4.502.062;324;1535128812,00;11:40:12,00;81;0;nonseizure;;;;
4.691.619;325;1535128812,25;11:40:12,25;81,25;0;nonseizure;;;;
