@RELATION <eda-dataset-normc>

@ATTRIBUTE scl_mean NUMERIC
@ATTRIBUTE scl_correlation NUMERIC
@ATTRIBUTE scr_mean NUMERIC
@ATTRIBUTE scr_std NUMERIC
@ATTRIBUTE eda_slope NUMERIC
@ATTRIBUTE eda_greater_v NUMERIC
@ATTRIBUTE eda_difference NUMERIC
@ATTRIBUTE eda_mean NUMERIC
@ATTRIBUTE eda_variance NUMERIC
@ATTRIBUTE eda_skewness NUMERIC
@ATTRIBUTE eda_kurtosis NUMERIC

@ATTRIBUTE class {0,1}

@DATA
0.0050377,0.0063549,0.0037414,0.0039928,4.3522e-17,0.0053482,0,0.005017,0.0026559,4.2001e-16,4.2001e-16,0
0.0050411,0.006357,0.0034362,0.0031596,0.0047962,0.0053482,0.0037953,0.0050203,0.0031187,6.411e-06,6.411e-06,0
0.0050445,0.0063587,0.0029814,0.0052724,-0.0035972,0.0053482,-0.0037953,0.0050236,0.0030583,-0.0013732,-0.0013732,0
0.0050479,0.006357,0.0030853,0.0051941,-0.0023981,0.0053482,0,0.0050269,0.0029577,-0.0028113,-0.0028113,0
0.0050511,0.0063569,0.0024045,0.0038681,-0.0011991,0.0053482,-0.0037953,0.0050301,0.0032997,-0.003016,-0.003016,0
0.0050544,0.0063587,0.0021238,0.0028263,0.0023981,0.0053482,0.0037953,0.0050334,0.0036016,-0.0034456,-0.0034456,0
0.0050575,0.0063587,0.0027786,0.002957,0.0035972,0.0053482,0.0037953,0.0050432,0.0028169,-0.0053175,-0.0053175,0
0.0050606,0.0063587,0.0023062,0.0040642,-0.0011991,0.0053482,-0.0037953,0.0050465,0.0029577,-0.0061848,-0.0061848,0
0.0050637,0.0063587,0.0028287,0.0048174,0.0035972,0.010696,0.0075906,0.0050531,0.0026358,-0.0092166,-0.0092166,0
0.0050668,0.0063566,0.0035846,0.0064952,0.0035972,0.0053482,0,0.0050564,0.002173,-0.011905,-0.011905,0
0.0050698,0.0063565,0.003335,0.0066047,0.0071944,0.0053482,0.0075906,0.0050596,0.0026358,-0.008606,-0.008606,0
0.0050726,0.0063587,0.0038039,0.0043609,-0.0047962,0,-0.0037953,0.0050596,0.0026358,-0.008606,-0.008606,0
0.0050755,0.0063587,0.003896,0.004475,3.2865e-17,0.0053482,0,0.0050596,0.0026358,-0.008606,-0.008606,0
0.0050783,0.0063587,0.003714,0.0034598,0.0047962,0.0053482,0.0037953,0.0050564,0.0026559,-0.0070482,-0.0070482,0
0.005081,0.0063561,0.0040624,0.0026773,0.0035972,0.0053482,0.0037953,0.0050629,0.0030583,-0.0070771,-0.0070771,0
0.0050837,0.0063569,0.0044686,0.00087527,1.2076e-16,0,0,0.0050695,0.0032997,-0.0081054,-0.0081054,0
0.0050864,0.0063569,0.0041935,0.0024231,1.4644e-16,0,0,0.0050727,0.0036016,-0.007909,-0.007909,0
0.005089,0.0063559,0.0038939,0.0022713,-0.0035972,0,-0.0037953,0.005076,0.0038631,-0.0080355,-0.0080355,0
0.0050916,0.0063587,0.0037211,0.002223,0.0023981,0.0053482,0.0037953,0.0050727,0.0040844,-0.0063947,-0.0063947,0
0.0050941,0.0063587,0.0025894,0.0060173,-0.0083934,0.0053482,-0.011386,0.0050793,0.0050502,-0.0049809,-0.0049809,0
0.0050966,0.0063587,0.002147,0.0060236,-0.0011991,0.010696,0.0037953,0.0050793,0.0050502,-0.0049809,-0.0049809,0
0.005099,0.0063555,0.0019945,0.0054994,-0.0035972,0.0053482,-0.0075906,0.0050826,0.0047484,-0.0063606,-0.0063606,0
0.0051014,0.0063565,0.0022482,0.006848,0.01319,0.010696,0.015181,0.0050858,0.0053722,-0.0052829,-0.0052829,0
0.0051038,0.0063563,0.0036132,0.0064843,0.0059953,0.0053482,0.0037953,0.0050989,0.0026358,-0.001477,-0.001477,0
0.0051061,0.0063565,0.0046138,0.0044668,0.0071944,0.0053482,0.0075906,0.0050989,0.0026358,-0.001477,-0.001477,0
