@relation '<eda-dataset>-weka.filters.supervised.instance.SMOTE-C0-K5-P1000.0-S1-weka.filters.supervised.instance.SpreadSubsample-M2.0-X0.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R3-4,6,9-11'

@attribute scl_mean numeric
@attribute scl_correlation numeric
@attribute eda_slope numeric
@attribute eda_difference numeric
@attribute eda_mean numeric
@attribute class {0,1}

@data
0.12853,-0.98724,0,0,0.1303,0
0.31885,0.999877,0.005347,0.003259,0.32414,1
0.126351,0.986163,0.002766,0.001706,0.12806,1
0.11911,0.99846,0.001536,0.00128,0.12213,0
0.14318,0.99838,-0.002048,-0.00128,0.14722,0
0.321089,-0.291414,-0.00175,-0.001737,0.326131,1
0.33881,0.99309,-0.004894,-0.00384,0.34314,0
0.13743,-0.97014,-0.000376,0,0.13895,0
0.3725,0.99476,0.0064,0.00512,0.37688,0
0.12733,0.99906,-0.001548,-0.00129,0.12913,0
0.317682,0.999357,-0.000773,-0.000642,0.321832,1
0.321054,-0.977234,-0.001234,-0.00128,0.32595,1
0.315866,0.927112,0.001537,0.001079,0.322118,1
0.22332,0.98995,0.00256,0.00256,0.2273,0
0.318984,-0.999387,-0.003403,-0.000553,0.326508,1
0.318295,-1,0.00192,0.00128,0.32382,1
0.33842,-0.92848,-0,0,0.34261,0
0.23423,0.99655,-0.002048,-0.00128,0.23819,0
0.150039,1,-0.000388,0.000539,0.283377,1
0.12649,-0.99705,-0.001138,-0.00129,0.12891,0
0.1499,0.91018,0.000376,0,0.15341,0
0.12922,0.992,0.000662,0,0.13233,0
0.13889,0.97304,-0.000883,-0.00128,0.14183,0
0.38349,1,-0.010164,-0.00897,0.39065,0
0.13968,0.99931,0.00256,0.00128,0.14188,0
0.1254,0,-0.001028,0,0.12699,0
0.13389,0.99864,0.000512,0,0.13804,0
0.217031,0.974164,-0.000828,-0.000048,0.309088,1
0.317146,1,0.003763,0.003408,0.322466,1
0.16481,-0.99929,-0.001545,-0.00128,0.16643,0
0.11666,-0.99705,-0.001536,-0.00128,0.11871,0
0.122547,0,0.001329,0.000617,0.127913,1
0.318221,0.999733,-0.002195,-0.00078,0.324696,1
0.11999,0,0.001129,0,0.12389,0
0.11569,-1,0.000512,0,0.11765,0
0.42653,0.99627,0.001515,0.00257,0.43186,0
0.1635,-0.99887,0.001506,0.00128,0.16601,0
0.123503,0.957348,-0.002627,-0.002358,0.125555,1
0.1004,-1,-0.001024,0,0.10232,0
0.096586,-0.9999,0,0,0.099327,0
0.13431,-0.98907,0,0,0.1358,0
0.1069,1,0.003072,0.00256,0.10947,0
0.12899,-0.9824,-0,0,0.13073,0
0.16234,0.93076,0.002259,0.00128,0.16526,0
0.12431,-0.99864,0.006144,0.00512,0.12662,0
0.11227,0.99655,-0.002048,-0.00128,0.11546,0
0.250009,0.999224,0.002634,0.002619,0.204617,1
0.16031,-0.98724,-0.000753,-0.00128,0.16355,0
0.19843,0.99999,0.002048,0.00128,0.20424,0
0.318798,0.999105,-0.010206,-0.003789,0.322871,1
0.11456,0.99591,-0.001024,0,0.11599,0
0.090124,0.99948,0.001026,0.001282,0.092812,0
0.1095,1,0,0,0.11235,0
0.319084,0.99894,0.000285,-0.002429,0.32333,1
0.12359,0.98978,0.001024,0.00128,0.12539,0
0.11427,0.99846,0.001024,0.00128,0.11642,0
0.317655,0.999889,0.002837,0.000417,0.322982,1
0.318657,-0.99918,0.000291,0,0.32382,1
0.318924,-0.998264,-0.000806,-0.00128,0.32411,1
0.16222,-0.99476,-0.000376,0,0.16483,0
0.11302,1,0,0,0.11503,0
0.4007,0.99705,0,0,0.40923,0
0.17023,0.962647,-0,-0.000168,0.287178,1
0.099462,0.999986,-0.002062,-0.001287,0.091871,1
0.15308,-0.99655,-0.001545,-0.00128,0.15618,0
0.39497,0.99655,-0.004414,-0.00256,0.39994,0
0.10827,0.89443,-0.001536,-0.00128,0.11065,0
0.12506,0,0.001024,0.00128,0.1287,0
0.16028,0.91915,0.002428,0.00256,0.16302,0
0.11634,0.99228,-0.001536,-0.00128,0.11844,1
0.12788,0.95182,-0.001545,-0.00128,0.1303,0
0.14425,0.98978,0.001536,0.00128,0.14701,0
0.1291,1,-0.001024,-0.00128,0.1327,0
0.10998,0.99838,-0.002048,-0.00128,0.11203,0
0.32316,0.99555,0.001129,0.00128,0.32979,0
0.12325,-0.85749,0.004518,0.00384,0.12603,0
0.318268,0.997595,0.001319,0.000909,0.322668,1
0.099593,0.99999,-0.000513,0,0.10114,0
0.40039,0.99553,0.000662,0,0.40794,0
0.12856,1,-0.00176,-0.00256,0.13041,0
0.12313,0.99944,0,0,0.12517,0
0.16179,0.98561,-0.003012,-0.00256,0.16494,0
0.157359,0.999914,-0.004565,-0.006015,0.129482,1
0.10695,0.99591,0.001536,0.00128,0.10905,0
0.10969,0.99438,-0,0,0.11257,0
0.32103,-0.98271,0.00256,0.00256,0.32595,1
0.13998,0.99827,-0.001545,-0.00128,0.14312,0
